company_id,type,rule_id,text,confidence_pct
APOLLOHOSP,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
APOLLOHOSP,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ASIANPAINT,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ASIANPAINT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
ASIANPAINT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
ASIANPAINT,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
ASIANPAINT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
ASIANPAINT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
ASIANPAINT,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ATGL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (21.1%) reflects strong business momentum,85.0
ATGL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
ATGL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
ATGL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
ATGL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
AXISBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BAJAJ-AUTO,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
BAJAJ-AUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
BAJAJ-AUTO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
BAJAJ-AUTO,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
BAJAJ-AUTO,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BAJAJFINSV,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
BAJAJFINSV,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (21.0%) reflects strong business momentum,85.0
BAJAJFINSV,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BAJAJFINSV,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
BAJAJFINSV,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
BAJAJFINSV,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,91.0
BAJAJFINSV,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
BAJAJFINSV,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BAJAJHLDNG,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (31.6%) reflects strong business momentum,85.0
BAJAJHLDNG,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BAJAJHLDNG,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
BAJAJHLDNG,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
BAJAJHLDNG,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
BAJAJHLDNG,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
BAJAJHLDNG,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
BAJAJHLDNG,con,CON-FALLBACK,Capital intensity and industry scale benefits warrant continuous monitoring,65.0
BAJFINANCE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (24.4%) reflects strong business momentum,85.0
BAJFINANCE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BAJFINANCE,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
BAJFINANCE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
BAJFINANCE,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,91.0
BAJFINANCE,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
BAJFINANCE,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BANKBARODA,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (17.5%) reflects strong business momentum,85.0
BANKBARODA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BANKBARODA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
BANKBARODA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
BANKBARODA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
BANKBARODA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
BANKBARODA,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BEL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
BEL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
BEL,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
BEL,con,CON-FALLBACK,Capital intensity and industry scale benefits warrant continuous monitoring,65.0
BHARTIARTL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
BHARTIARTL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
BHARTIARTL,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
BHARTIARTL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
BHARTIARTL,con,CON-01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,94.0
BHARTIARTL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BHEL,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
BHEL,con,CON-05,Revenue contraction over 5 consecutive years indicates demand weakness or market share loss,83.0
BHEL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
BHEL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BHEL,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,76.0
BOSCHLTD,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
BOSCHLTD,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
BOSCHLTD,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
BOSCHLTD,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
BOSCHLTD,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
BOSCHLTD,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BPCL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
BPCL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
BPCL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
BPCL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
BRITANNIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
BRITANNIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
BRITANNIA,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
BRITANNIA,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
CANBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (18.2%) reflects strong business momentum,85.0
CANBK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
CANBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
CANBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
CANBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
CANBK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
CANBK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
CHOLAFIN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (21.9%) reflects strong business momentum,85.0
CHOLAFIN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
CHOLAFIN,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
CHOLAFIN,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
CHOLAFIN,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
CHOLAFIN,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,91.0
CHOLAFIN,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
CHOLAFIN,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
CHOLAFIN,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
CIPLA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
CIPLA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
CIPLA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
CIPLA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
CIPLA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
CIPLA,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
CIPLA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
CIPLA,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
COALINDIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
COALINDIA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
COALINDIA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
COALINDIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
COALINDIA,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
COALINDIA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
COALINDIA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
COALINDIA,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
DABUR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
DABUR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
DABUR,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
DABUR,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
DABUR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
DABUR,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
DIVISLAB,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
DIVISLAB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
DIVISLAB,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
DIVISLAB,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
DIVISLAB,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
DIVISLAB,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,85.0
DLF,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
DLF,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
DLF,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
DLF,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
DLF,con,CON-05,Revenue contraction over 5 consecutive years indicates demand weakness or market share loss,83.0
DLF,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
DLF,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,76.0
DMART,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (20.5%) reflects strong business momentum,85.0
DMART,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
DMART,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
DMART,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
DMART,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
DMART,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
DRREDDY,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
DRREDDY,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
DRREDDY,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
DRREDDY,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
DRREDDY,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
DRREDDY,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
DRREDDY,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
EICHERMOT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
EICHERMOT,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
EICHERMOT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
EICHERMOT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
EICHERMOT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
EICHERMOT,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
GAIL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
GAIL,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
GAIL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
GAIL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
GODREJCP,con,CON-04,Company reported a net loss in the most recent financial year,99.0
GODREJCP,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
GODREJCP,pro,PRO-FALLBACK,Company shows stable asset utilization and baseline operations,65.0
GRASIM,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
GRASIM,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
GRASIM,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
GRASIM,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,85.0
GRASIM,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
HAL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
HAL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HAL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
HAL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
HAL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
HAL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
HAL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
HAVELLS,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
HAVELLS,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
HAVELLS,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
HAVELLS,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
HCLTECH,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
HCLTECH,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
HCLTECH,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
HCLTECH,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
HCLTECH,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
HCLTECH,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
HCLTECH,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
HCLTECH,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
HDFCBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (22.0%) reflects strong business momentum,85.0
HDFCBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HDFCBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
HDFCBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
HDFCBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,95.0
HDFCBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
HDFCLIFE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (21.2%) reflects strong business momentum,85.0
HDFCLIFE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HDFCLIFE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
HDFCLIFE,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
HDFCLIFE,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
HDFCLIFE,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
HEROMOTOCO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
HEROMOTOCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HEROMOTOCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
HEROMOTOCO,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
HEROMOTOCO,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
HEROMOTOCO,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
HEROMOTOCO,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
HEROMOTOCO,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
HEROMOTOCO,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,76.0
HINDALCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HINDALCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
HINDALCO,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,78.0
HINDALCO,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
HINDUNILVR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
HINDUNILVR,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
HINDUNILVR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
HINDUNILVR,pro,PRO-08,Consistent dividend payout backed by positive free cash flow,80.0
HINDUNILVR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,88.0
HINDUNILVR,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ICICIBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (17.3%) reflects strong business momentum,85.0
ICICIBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ICICIBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
ICICIBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
ICICIBANK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
ICICIBANK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
ICICIBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,95.0
ICICIBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
ICICIGI,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ICICIGI,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ICICIGI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
ICICIGI,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
ICICIGI,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
ICICIPRULI,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (16.8%) reflects strong business momentum,85.0
ICICIPRULI,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
ICICIPRULI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
ICICIPRULI,pro,PRO-11,Revenue growing faster than profits shows expansion of market scale and distribution benefits,75.0
ICICIPRULI,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80.0
INDIGO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
INDIGO,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years (19.3%) reflects strong business momentum,85.0
INDIGO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
INDIGO,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
INDIGO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,92.0
INDIGO,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.0
INDIGO,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,87.0
